Modal_Price,Price_Date
1375,2/24/2010
1238,2/25/2010
1805,2/26/2010
1275,2/28/2010
1305,03-02-2010
1288,03-03-2010
1275,03-04-2010
1250,03-05-2010
1250,03-06-2010
1300,03-07-2010
1240,03-08-2010
1387,03-09-2010
1275,03-10-2010
1311,03-11-2010
1249,03-12-2010
1263,3/14/2010
1270,3/15/2010
1450,3/17/2010
1327,3/18/2010
1365,3/19/2010
1350,3/20/2010
1325,3/21/2010
1525,3/22/2010
1300,3/23/2010
1250,3/24/2010
1285,3/25/2010
1550,3/26/2010
1305,3/27/2010
1325,3/28/2010
1350,3/29/2010
1200,3/30/2010
1200,3/31/2010
1250,04-01-2010
1144,04-03-2010
1300,04-04-2010
1445,04-05-2010
1175,04-06-2010
1900,04-07-2010
1175,04-08-2010
1571,04-09-2010
1200,04-10-2010
1400,04-11-2010
1587,04-12-2010
1400,4/13/2010
1375,4/15/2010
1656,4/16/2010
1250,4/17/2010
1325,4/18/2010
1675,4/19/2010
1250,4/20/2010
1525,4/21/2010
1298,4/22/2010
1515,4/23/2010
1300,4/24/2010
1200,4/25/2010
1550,4/26/2010
1200,4/27/2010
1493,4/28/2010
1210,4/29/2010
1646,4/30/2010
1545,05-03-2010
1188,05-04-2010
1500,05-05-2010
1200,05-06-2010
1550,05-07-2010
1250,05-08-2010
1300,05-09-2010
1500,05-10-2010
1250,05-11-2010
1550,05-12-2010
1325,5/13/2010
1300,5/14/2010
1300,5/16/2010
1650,5/17/2010
1300,5/18/2010
1350,5/19/2010
1325,5/20/2010
1300,5/21/2010
1250,5/23/2010
1375,5/24/2010
1325,5/25/2010
1377,5/26/2010
1425,5/28/2010
1300,5/30/2010
1400,5/31/2010
1300,06-01-2010
1350,06-02-2010
1300,06-03-2010
1425,06-04-2010
1350,06-05-2010
1300,06-06-2010
1300,06-07-2010
1300,06-08-2010
1575,06-09-2010
1300,06-10-2010
1500,06-11-2010
1300,06-12-2010
1300,6/13/2010
1525,6/14/2010
1375,6/15/2010
1550,6/16/2010
1425,6/17/2010
1500,6/18/2010
1300,6/19/2010
1200,6/20/2010
1425,6/21/2010
1300,6/22/2010
1500,6/23/2010
1200,6/24/2010
1500,6/25/2010
1350,6/27/2010
1350,6/28/2010
1125,6/29/2010
1325,6/30/2010
1300,07-01-2010
1320,07-02-2010
1300,07-04-2010
1150,07-06-2010
1400,07-07-2010
1280,07-08-2010
1250,07-09-2010
1250,07-10-2010
1200,07-11-2010
1375,07-12-2010
1400,7/13/2010
1275,7/14/2010
1350,7/15/2010
1475,7/16/2010
1250,7/17/2010
1325,7/18/2010
1425,7/19/2010
1425,7/20/2010
1400,7/21/2010
1400,7/22/2010
1425,7/23/2010
1500,7/26/2010
1300,7/27/2010
1400,7/28/2010
1418,7/29/2010
1300,08-01-2010
1400,08-02-2010
1400,08-03-2010
1300,08-04-2010
1450,08-05-2010
1440,08-06-2010
1300,08-08-2010
1375,08-09-2010
1445,08-10-2010
1402,08-11-2010
1340,08-12-2010
1350,8/15/2010
1500,8/16/2010
1280,8/17/2010
1450,8/18/2010
1250,8/19/2010
1425,8/20/2010
1280,8/22/2010
1350,8/23/2010
1300,8/24/2010
1400,8/25/2010
1250,8/26/2010
1135,8/27/2010
1300,8/28/2010
1250,8/29/2010
1390,8/30/2010
1338,8/31/2010
1330,09-01-2010
1445,09-02-2010
1367,09-03-2010
1200,09-04-2010
1265,09-05-2010
1202,09-06-2010
1265,09-07-2010
1200,09-09-2010
1200,09-10-2010
1250,09-11-2010
1200,09-12-2010
1300,9/13/2010
1310,9/14/2010
1425,9/15/2010
1250,9/16/2010
1351,9/17/2010
1175,9/19/2010
1200,9/20/2010
1215,9/21/2010
1220,9/22/2010
1258,9/23/2010
1197,9/24/2010
1250,9/26/2010
1238,9/27/2010
1205,9/28/2010
1278,9/29/2010
1270,9/30/2010
1250,10-01-2010
1250,10-02-2010
1225,10-03-2010
1427,10-04-2010
1230,10-05-2010
1211,10-06-2010
1260,10-07-2010
1275,10-08-2010
1250,10-09-2010
1270,10-10-2010
1311,10-11-2010
1200,10-12-2010
1285,10/13/2010
1382,10/14/2010
1330,10/15/2010
1225,10/17/2010
